Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition, Average of Conditions
Josh Archibald, 1.1342281879194631, 1.3, 1.0285714285714285, 1.1564625850340136, 1.1548155503812263
Rickard Rakell, 2.541213063763608, 2.142857142857143, 2.5826771653543306, 2.7133956386292835, 2.4950357526510913
Chad Ruhwedel, 1.1655844155844155, 0.2857142857142857, 1.21875, 1.1824324324324325, 0.9631202834327834
Jake Guentzel, 2.784269662921348, 2.6, 2.8160919540229883, 2.825892857142857, 2.7565636185217985
Tristan Jarry, 26.517587939698494, 26.0, 25.405405405405407, 27.452830188679247, 26.343955883445787
Mark Friedman, 1.152542372881356, 1.0, 1.25, 1.0740740740740742, 1.1191541117388575
Danton Heinen, 1.634567901234568, 1.5, 1.5633802816901408, 1.5172413793103448, 1.5537973905587634
Casey DeSmith, 26.30827067669173, 27.0, 22.346153846153847, 27.193548387096776, 25.711993227485586
Alex Nylander, 1.3777777777777778, 0.8, 1.5454545454545454, 1.391304347826087, 1.2786341677646025
Pierre-Olivier Joseph, 1.528735632183908, 1.0, 1.6363636363636365, 1.425, 1.3975248171368861
Ryan Poehling, 1.3, 3.0, 0.8461538461538461, 1.3442622950819672, 1.6226040353089533
Drew O'Connor, 1.4861111111111112, 3.0, 1.4666666666666666, 1.4054054054054055, 1.8395457957957957
Anton Forsberg, 26.607692307692307, 31.333333333333332, 27.181818181818183, 26.349206349206348, 27.86801254301254
Josh Norris, 2.1954887218045114, 2.3333333333333335, 2.111111111111111, 2.3181818181818183, 2.2395287461076934
Claude Giroux, 2.597069597069597, 2.5, 2.6698564593301435, 2.6963636363636363, 2.615822423190844
Derick Brassard, 1.9120553359683794, 1.9, 1.8333333333333333, 2.0212355212355213, 1.9166560476343084
Nick Holden, 1.1842105263157894, 0.9565217391304348, 1.2190476190476192, 1.243076923076923, 1.1507142018926915
Travis Hamonic, 1.8005050505050506, 2.25, 1.8606060606060606, 1.8771929824561404, 1.9470760233918127
Cam Talbot, 26.794392523364486, 29.545454545454547, 27.9875, 26.401826484018265, 27.682293388209324
Austin Watson, 1.1761006289308176, 1.3076923076923077, 1.077922077922078, 1.1896551724137931, 1.1878425467397489
Thomas Chabot, 2.425196850393701, 1.6666666666666667, 2.106060606060606, 2.668421052631579, 2.216586293938138
Mathieu Joseph, 1.1785714285714286, 0.8333333333333334, 0.8571428571428571, 1.1560283687943262, 1.0062689969604863
Julien Gauthier, 1.1266666666666667, 1.1, 1.121212121212121, 1.103896103896104, 1.112943722943723
Alex DeBrincat, 2.8823529411764706, 2.9, 2.8051948051948052, 2.9545454545454546, 2.8855233002291825
Jakob Chychrun, 2.3766233766233764, 2.125, 2.32, 2.2916666666666665, 2.2783225108225107
Dylan Gambrell, 0.8634361233480177, 0.75, 1.0, 0.8727272727272727, 0.8715408490188226
Erik Brannstrom, 1.2582417582417582, 1.1666666666666667, 1.393939393939394, 1.3777777777777778, 1.2991563991563992
Drake Batherson, 2.2648401826484017, 1.8, 2.7586206896551726, 2.3859649122807016, 2.302356446146069
Mark Kastelic, 0.9863013698630136, 0.3333333333333333, 0.8181818181818182, 1.105263157894737, 0.8107699198182254
Parker Kelly, 1.1134020618556701, 1.0, 1.4, 1.1153846153846154, 1.1571966693100713
Brady Tkachuk, 3.678062678062678, 4.545454545454546, 3.9508196721311477, 3.6988636363636362, 3.968300133003002
Mads Sogaard, 25.176470588235293, 0, 26.555555555555557, 24.1, 18.95800653594771
Shane Pinto, 1.7142857142857142, 3.5, 2.357142857142857, 1.9130434782608696, 2.37111801242236
Ridly Greig, 1.3125, 0, 1.2, 2.0, 1.128125
Jake Sanderson, 1.536231884057971, 2.0, 1.2857142857142858, 1.3823529411764706, 1.5510747777371816
Artem Zub, 0.9364161849710982, 2.6666666666666665, 0.7857142857142857, 0.9310344827586207, 1.329957905027668
Corey Perry, 2.6136, 2.9545454545454546, 2.6137339055793993, 2.8466453674121404, 2.7571311818842488
Brian Elliott, 23.814814814814813, 22.956521739130434, 23.061855670103093, 23.299242424242426, 23.28310866207269
Alex Killorn, 1.9661654135338347, 2.1724137931034484, 1.9013157894736843, 2.0603015075376883, 2.025049125912164
Ian Cole, 1.0863697705802968, 1.3846153846153846, 1.0807453416149069, 1.1311475409836065, 1.1707195094485487
Pat Maroon, 1.4722991689750693, 1.7222222222222223, 1.2058823529411764, 1.4915254237288136, 1.4729822919668205
Steven Stamkos, 3.066265060240964, 3.4081632653061225, 2.9414893617021276, 3.2674650698602794, 3.170845689277373
Zach Bogosian, 1.7769230769230768, 2.2058823529411766, 2.124223602484472, 1.909814323607427, 2.004210838989038
Victor Hedman, 2.1291322314049586, 1.9772727272727273, 2.1375661375661377, 2.1737373737373735, 2.104427117495299
Nikita Kucherov, 2.963893249607535, 3.3333333333333335, 3.1621621621621623, 3.047318611987382, 3.126676839272603
Andrei Vasilevskiy, 0.9375, 0.0, 0.0, 0.5555555555555556, 0.3732638888888889
Nicholas Paul, 1.7383177570093458, 2.5454545454545454, 1.4426229508196722, 1.8012422360248448, 1.8819093723271019
Pierre-Edouard Bellemare, 1.1715160796324655, 1.1363636363636365, 1.2252252252252251, 1.2746913580246915, 1.2019490748115047
Haydn Fleury, 1.2768595041322315, 1.125, 1.3111111111111111, 1.3333333333333333, 1.261575987144169
Brayden Point, 2.4207317073170733, 1.8235294117647058, 2.3655913978494625, 2.4056224899598395, 2.25386875172277
Darren Raddysh, 1.1428571428571428, 0, 1.4, 1.8, 1.0857142857142856
Erik Cernak, 1.6632302405498283, 1.4444444444444444, 1.6551724137931034, 1.852112676056338, 1.6537399437109286
Anthony Cirelli, 1.6849710982658959, 1.7777777777777777, 1.3333333333333333, 1.7840909090909092, 1.645043279616979
Mikhail Sergachev, 1.806896551724138, 1.7857142857142858, 1.9102564102564104, 1.7522935779816513, 1.8137902064191214
Ross Colton, 1.8852459016393444, 1.4, 1.6578947368421053, 1.8804347826086956, 1.7058938552725362
Brandon Hagel, 1.8634146341463416, 1.2, 1.9069767441860466, 1.9907407407407407, 1.740283029768282
Michael Eyssimont, 2.2745098039215685, 2.3333333333333335, 2.0, 2.4444444444444446, 2.2630718954248366
Tanner Jeannot, 1.4642857142857142, 2.25, 1.206896551724138, 1.5747126436781609, 1.6239737274220034
Nick Perbix, 1.6451612903225807, 2.0, 1.6153846153846154, 1.7575757575757576, 1.7545304158207387
Michael Rasmussen, 1.4789915966386555, 1.0833333333333333, 1.3243243243243243, 1.5206611570247934, 1.3518276028302767
David Perron, 2.1405353728489485, 1.85, 2.0842105263157893, 2.153992395437262, 2.0571845736505
Alex Chiasson, 1.4221183800623054, 1.5625, 1.371900826446281, 1.3962264150943395, 1.4381864054007316
Ben Chiarot, 1.408273381294964, 0.8333333333333334, 1.3580246913580247, 1.4336917562724014, 1.258330790564681
Magnus Hellberg, 19.666666666666668, 0, 19.8, 11.875, 12.835416666666667
Olli Maatta, 1.3034825870646767, 1.434782608695652, 1.244186046511628, 1.3717948717948718, 1.3385615285167072
Dominik Kubalik, 2.321167883211679, 2.6153846153846154, 2.022222222222222, 2.3134328358208953, 2.318051889159853
Andrew Copp, 1.5035971223021583, 1.0769230769230769, 1.3518518518518519, 1.5886524822695036, 1.3802561333366477
Adam Erne, 1.235632183908046, 2.1333333333333333, 1.3026315789473684, 1.3043478260869565, 1.4939862305689262
