Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition
Travis Boyd, 0.9438202247191011, 1.4, 0.723404255319149, 0.9925373134328358
Brett Ritchie, 1.6236842105263158, 1.8, 1.891566265060241, 1.5757575757575757
Liam O'Brien, 0.7837837837837838, 0.75, 1.0, 0.8723404255319149
Josh Brown, 0.8008658008658008, 1.4, 1.0256410256410255, 0.8
Laurent Dauphin, 1.244186046511628, 0.2, 1.0416666666666667, 1.425
Nick Schmaltz, 1.6183574879227054, 1.6666666666666667, 1.8235294117647058, 1.6470588235294117
Christian Fischer, 1.5376623376623377, 2.0714285714285716, 1.4516129032258065, 1.4536082474226804
Lawson Crouse, 1.6170731707317074, 1.3846153846153846, 1.7464788732394365, 1.7009803921568627
Karel Vejmelka, 29.71875, 30.0, 34.07692307692308, 30.106382978723403
Connor Ingram, 31.964285714285715, 35.0, 38.75, 33.63636363636363
Clayton Keller, 2.4895104895104896, 2.9285714285714284, 2.2, 2.6809523809523808
Juuso Valimaki, 1.251700680272109, 2.0, 1.3636363636363635, 1.3181818181818181
Barrett Hayton, 1.6625766871165644, 2.5714285714285716, 1.88, 1.6585365853658536
Jack McBain, 0.1111111111111111, 0.0, 0, 0.16666666666666666
Michael Kesselring, 1.6666666666666667, 0, 1.6666666666666667, 1.6666666666666667
Ivan Prosvetov, 25.125, 0, 30.333333333333332, 34.0
Victor Soderstrom, 1.027027027027027, 1.0, 1.6666666666666667, 1.15
Matias Maccelli, 0.8513513513513513, 1.3333333333333333, 0.6521739130434783, 0.8787878787878788
Connor Mackey, 0.7692307692307693, 0.0, 0.5714285714285714, 0.75
Markus Nutivaara, 1.221818181818182, 1.9, 1.2093023255813953, 1.3381294964028776
Luke Kunin, 1.7801418439716312, 1.7142857142857142, 1.8055555555555556, 1.8150684931506849
Jonah Gadjovich, 0.8607594936708861, 1.0, 1.2, 0.925
Marc-Edouard Vlasic, 1.3043124491456468, 1.6956521739130435, 1.2903225806451613, 1.2516339869281046
James Reimer, 26.71794871794872, 25.125, 26.402173913043477, 26.839285714285715
Logan Couture, 2.7472647702407, 2.5625, 2.7222222222222223, 2.7960526315789473
Erik Karlsson, 2.8037486218302097, 2.533333333333333, 2.9934210526315788, 2.9293598233995586
Tomas Hertl, 2.2795698924731185, 2.6153846153846154, 2.3394495412844036, 2.3501577287066246
Derrick Pouliot, 1.0963302752293578, 0.75, 1.2708333333333333, 1.0642201834862386
Matt Benning, 1.071593533487298, 0.5, 1.0416666666666667, 1.1055045871559632
Andreas Johnsson, 1.6459143968871595, 1.2666666666666666, 1.5517241379310345, 1.7744360902255638
